tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
52,Thresh40,germany,0.25,1.6077842837865646,1.6077842837865646,0.018208484004354375,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,48.7185700944584,0
53,Thresh40,germany,0.25,1.6256285981108292,1.6256285981108292,0.017844314324264587,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,50.34419869256923,0
54,Thresh40,germany,0.25,1.6431160261486184,1.6431160261486184,0.017487428037789243,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,51.98731471871785,0
55,Thresh40,germany,0.25,1.6602537056256423,1.6602537056256423,0.017137679477023937,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,53.64756842434349,0
56,Thresh40,germany,0.25,1.6770486315131308,1.6770486315131308,0.016794925887488432,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,55.32461705585662,0
57,Thresh40,germany,0.25,1.693507658882865,1.693507658882865,0.016459027369734258,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,57.018124714739486,0
58,Thresh40,germany,0.25,1.70963750570521,1.70963750570521,0.016129846822344973,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,58.727762220444696,0
59,Thresh40,germany,0.25,1.7254447555911057,1.7254447555911057,0.015807249885895658,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,60.4532069760358,0
60,Thresh40,germany,0.25,1.7409358604792828,1.7409358604792828,0.015491104888177176,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,62.194142836515084,0
61,Thresh40,germany,0.25,1.756117143269698,1.756117143269698,0.015181282790415196,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,63.95025997978478,0
62,Thresh40,germany,0.25,1.7709948004043028,1.7709948004043028,0.01487765713460476,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,65.72125478018908,0
63,Thresh40,germany,0.25,1.7855749043962135,1.7855749043962135,0.014580103991910676,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,67.5068296845853,0
64,Thresh40,germany,0.25,1.7998634063082903,1.7998634063082903,0.014288501912076867,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,69.30669309089359,0
65,Thresh40,germany,0.25,1.8138661381821208,1.8138661381821208,0.014002731873830498,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,71.12055922907571,0
66,Thresh40,germany,0.25,1.8275888154184798,1.8275888154184798,0.013722677236359004,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,72.94814804449419,0
67,Thresh40,germany,0.25,1.8410370391101196,1.8410370391101196,0.013448223691639782,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,74.78918508360431,0
68,Thresh40,germany,0.25,1.8542162983279127,1.8542162983279127,0.01317925921779306,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,76.64340138193222,0
69,Thresh40,germany,0.25,1.8671319723613493,1.8671319723613493,0.01291567403343663,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,78.51053335429357,0
70,Thresh40,germany,0.25,1.8797893329141289,1.8797893329141289,0.01265736055277955,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,80.3903226872077,0
71,Thresh40,germany,0.25,1.8921935462558395,1.8921935462558395,0.012404213341710602,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,82.28251623346354,0
72,Thresh40,germany,0.25,1.9043496753307352,1.9043496753307352,0.012156129074895716,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,84.18686590879427,0
73,Thresh40,germany,0.25,1.916262681824108,1.916262681824108,0.01191300649337279,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,86.10312859061838,0
74,Thresh40,germany,0.25,1.927937428187633,1.927937428187633,0.011674746363524946,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,88.03106601880602,0
75,Thresh40,germany,0.25,1.9393786796238857,1.9393786796238857,0.011441251436252742,inf,0.0,0.0,0.0,0.0,0,0,0,0,0,89.9704446984299,0
