tick,car_id,map_id,throttle,distance_delta,velocity,acceleration,lane_radius,relative_angle,slip_angle,angle_velocity,angle_acceleration,can_switch,lane_start,lane_end,bend_direction,piece_index,in_piece_distance,is_crashed
809,harmony,keimola,0.6,6.0036479735188735,6.0036479735188735,-7.44484391610456e-05,190,0.22826860690871767,-0.22826860690871767,0.015564708816882461,0.0003037928326271866,0,0,0,-1,11,42.39180502029404,0
810,harmony,keimola,0.6,6.003575014048494,6.003575014048494,-7.295947037988526e-05,190,0.21254731352441658,-0.21254731352441658,0.015721293384301088,0.00015658456741862725,0,0,0,-1,11,48.39538003434254,0
811,harmony,keimola,0.6,6.003503513767527,6.003503513767527,-7.150028096702954e-05,190,0.19680309480257271,-0.19680309480257271,0.015744218721843867,2.292533754277848e-05,0,0,0,-1,11,54.398883548110064,0
812,harmony,keimola,0.6,6.0034334434921774,6.0034334434921774,-7.007027534911003e-05,190,0.18115641286395376,-0.18115641286395376,0.015646681938618956,-9.753678322491077e-05,0,0,0,-1,11,60.40231699160224,0
813,harmony,keimola,0.6,6.003364774622334,6.003364774622334,-6.866886984369103e-05,190,0.16571494853483354,-0.16571494853483354,0.01544146432912022,-0.0002052176094987368,0,0,0,-1,11,66.40568176622457,0
814,harmony,keimola,0.6,6.003297479129884,6.003297479129884,-6.729549244965938e-05,190,0.15057407153279737,-0.15057407153279737,0.015140877002036174,-0.00030058732708404534,0,0,0,-1,11,72.40897924535446,0
815,harmony,keimola,0.6,6.003231529547293,6.003231529547293,-6.594958259142913e-05,inf,-0.0,-0.13581735605089587,0.014756715481901495,-0.0003841615201346793,0,0,0,0,12,3.7993852521441625,0
816,harmony,keimola,0.6,6.0031668989563425,6.0031668989563425,-6.463059095018764e-05,inf,-0.0,-0.12151713332455391,0.01430022272634196,-0.0004564927555595344,0,0,0,0,12,9.802552151100505,0
817,harmony,keimola,0.6,6.003103560977214,6.003103560977214,-6.333797912816408e-05,inf,-0.0,-0.1077350733303086,0.01378205999424531,-0.0005181627320966498,0,0,0,0,12,15.80565571207772,0
818,harmony,keimola,0.6,6.0030414897576705,6.0030414897576705,-6.207121954382444e-05,inf,-0.0,-0.09452278833254868,0.013212284997759921,-0.0005697749964853893,0,0,0,0,12,21.80869720183539,0
819,harmony,keimola,0.6,6.0029806599625175,6.0029806599625175,-6.082979515298348e-05,inf,-0.0,-0.0819224515594549,0.012600336773093773,-0.0006119482246661478,0,0,0,0,12,27.811677861797907,0
820,harmony,keimola,0.6,6.002921046763266,6.002921046763266,-5.961319925162911e-05,inf,-0.0,-0.06996742484826037,0.011955026711194541,-0.0006453100618992319,0,0,0,0,12,33.81459890856117,0
821,harmony,keimola,0.6,6.002862625828001,6.002862625828001,-5.8420935264535956e-05,inf,-0.0,-0.05868288964917346,0.011284535199086905,-0.0006704915121076363,0,0,0,0,12,39.817461534389174,0
822,harmony,keimola,0.6,6.002805373311439,6.002805373311439,-5.725251656230057e-05,inf,-0.0,-0.048086476313681986,0.010596413335491474,-0.0006881218635954311,0,0,0,0,12,45.82026690770061,0
823,harmony,keimola,0.6,6.00274926584521,6.00274926584521,-5.6107466228638714e-05,inf,-0.0,-0.038188887113740425,0.009897589199941562,-0.0006988241355499122,0,0,0,0,12,51.823016173545824,0
824,harmony,keimola,0.6,6.00269428052831,6.00269428052831,-5.4985316900513226e-05,inf,-0.0,-0.028994508941186208,0.009194378172554217,-0.0007032110273873446,0,0,0,0,12,57.825710454074134,0
825,harmony,keimola,0.6,6.002640394917741,6.002640394917741,-5.388561056918206e-05,inf,-0.0,-0.020502012119652434,0.008492496821533774,-0.0007018813510204433,0,0,0,0,12,63.828350848991874,0
826,harmony,keimola,0.6,6.002587587019391,6.002587587019391,-5.280789834927191e-05,inf,-0.0,-0.012704932222613888,0.007797079897038546,-0.0006954169244952277,0,0,0,0,12,69.83093843601127,0
827,harmony,keimola,0.6,6.002535835279005,6.002535835279005,-5.175174038640762e-05,inf,-0.0,-0.005592232229712463,0.007112699992901424,-0.0006843799041371217,0,0,0,0,12,75.83347427129027,0
828,harmony,keimola,0.6,6.002485118573418,6.002485118573418,-5.071670558720598e-05,inf,0.0,0.0008511572318463832,0.006443389461558847,-0.0006693105313425778,0,0,0,0,12,81.83595938986369,0
829,harmony,keimola,0.6,6.002435416201948,6.002435416201948,-4.9702371470061735e-05,inf,0.0,0.00664382142397719,0.005792664192130806,-0.0006507252694280402,0,0,0,0,12,87.83839480606564,0
830,harmony,keimola,0.6,6.002386707877918,6.002386707877918,-4.870832403014447e-05,inf,0.0,0.011807370310627164,0.005163548886649974,-0.000629115305480832,0,0,0,0,12,93.84078151394355,0
831,harmony,keimola,0.6,6.002338973720356,6.002338973720356,-4.773415756176291e-05,inf,0.0,0.016365973805352763,0.004558603494725599,-0.0006049453919243757,0,0,0,0,12,99.84312048766391,0
832,harmony,keimola,0.6,6.002292194245953,6.002292194245953,-4.6779474402569576e-05,inf,0.0,0.02034592429758736,0.003979950492234596,-0.0005786530024910023,1,0,0,0,13,5.845412681909863,0
833,harmony,keimola,0.6,6.002246350361027,6.002246350361027,-4.58438849264553e-05,inf,0.0,0.023775227012353337,0.0034293027147659777,-0.0005506477774686186,1,0,0,0,13,11.84765903227089,0
834,harmony,keimola,0.6,6.002201423353807,6.002201423353807,-4.4927007220252335e-05,inf,0.0,0.02668321849368784,0.002907991481334502,-0.0005213112334314755,1,0,0,0,13,17.849860455624697,0
835,harmony,keimola,0.6,6.0021573948867335,6.0021573948867335,-4.402846707307617e-05,inf,0.0,0.029100213261860797,0.002416994768172958,-0.0004909967131615442,1,0,0,0,13,23.85201785051143,0
836,harmony,keimola,0.6,6.002114246988995,6.002114246988995,-4.314789773829375e-05,inf,0.0,0.031057178477938388,0.0019569652160775913,-0.00046002955209536664,1,0,0,0,13,29.854132097500425,0
837,harmony,keimola,0.6,6.0020719620492144,6.0020719620492144,-4.228493978075676e-05,inf,0.0,0.03258543625564107,0.0015282577777026851,-0.0004287074383749062,1,0,0,0,13,35.85620405954964,0
838,harmony,keimola,0.6,6.002030522808234,6.002030522808234,-4.143924098087837e-05,inf,0.0,0.03371639308892209,0.001130956833281016,-0.0003973009444216691,1,0,0,0,13,41.85823458235787,0
839,harmony,keimola,0.6,6.001989912352066,6.001989912352066,-4.0610456167655684e-05,inf,0.0,0.034481295713326615,0.0007649026244045259,-0.0003660542088764901,1,0,0,0,13,47.86022449470994,0
840,harmony,keimola,0.6,6.001950114105028,6.001950114105028,-3.979824703748136e-05,inf,0.0,0.03491101258899542,0.00042971687566880495,-0.000335185748735721,1,0,0,0,13,53.86217460881497,0
841,harmony,keimola,0.6,6.001911111822928,6.001911111822928,-3.900228210085288e-05,inf,0.0,0.035035840082107285,0.0001248274931118648,-0.00030488938255694015,1,0,0,0,13,59.864085720637895,0
842,harmony,keimola,0.6,6.001872889586473,6.001872889586473,-3.822223645499889e-05,inf,0.0,0.0348853323285319,-0.00015050775357538376,-0.00027533524668724857,1,0,0,0,13,65.86595861022437,0
843,harmony,keimola,0.6,6.001835431794731,6.001835431794731,-3.745779174124664e-05,inf,0.0,0.03448815368738052,-0.00039717864115138,-0.00024667088757599626,1,0,0,0,13,71.8677940420191,0
844,harmony,keimola,0.6,6.001798723158842,6.001798723158842,-3.670863588922657e-05,inf,0.0,0.03387195263187165,-0.000616201055508872,-0.00021902241435749203,1,0,0,0,13,77.86959276517794,0
845,harmony,keimola,0.6,6.001762748695668,6.001762748695668,-3.5974463173715776e-05,inf,0.0,0.033063255879342585,-0.0008086967525290645,-0.00019249569702019242,1,0,0,0,13,83.87135551387361,0
846,harmony,keimola,0.6,6.001727493721759,6.001727493721759,-3.525497390910459e-05,inf,0.0,0.03208738153020739,-0.0009758743491351946,-0.00016717759660613007,1,0,0,0,13,89.87308300759537,0
847,harmony,keimola,0.6,6.001692943847317,6.001692943847317,-3.4549874442291184e-05,inf,0.0,0.030968369966071482,-0.0011190115641359077,-0.0001431372150007132,1,0,0,0,13,95.87477595144269,0
