map_id,tick,car,throttle,switch_lane,velocity_x,velocity_y,coord_x,coord_y,angle,angle_offset,lap,piece_id,piece_pos,lane_start,lane_end,is_crashed,velocity
BYAW0P3YPS31LXW035Y7,1597,python_unmodified_red,,,4.885711564593359,-1.0629310925916984,459.102230748458,-91.04164728475232,262.1087656571455,0.0,2,7,71.24371562750052,0,0,,
BYAW0P3YPS31LXW035Y7,1598,python_unmodified_red,,,-3.653464630934307,3.4135313372681266,454.13568484292335,-90.46795951519516,264.7131192713765,0.0,2,7,76.24371562750046,0,0,,
BYAW0P3YPS31LXW035Y7,1599,python_unmodified_red,,,1.391853450648077,-4.802368579348999,449.14820104516093,-90.1205386525826,267.31747288560746,0.0,2,7,81.2437156275004,0,0,,
BYAW0P3YPS31LXW035Y7,1600,python_unmodified_red,,,1.2619126629334332,4.838137702786863,444.15008229965474,-90.00010238503256,269.92182649983846,0.0,2,7,86.24371562750035,0,0,,
BYAW0P3YPS31LXW035Y7,1601,python_unmodified_red,,,-4.556167608208089,2.0594505883645007,439.15051346969534,-90.0560015613869,271.3232372026078,0.0,2,8,4.849917653780992,0,0,,
BYAW0P3YPS31LXW035Y7,1602,python_unmodified_red,,,-2.9503213065636538,-4.036781414448402,434.1536936181019,-90.23095974230664,272.68742242910974,0.0,2,8,9.849917653780942,0,0,,
BYAW0P3YPS31LXW035Y7,1603,python_unmodified_red,,,3.3456846430552036,-3.7156956642362546,429.1624553091616,-90.5248289950636,274.0516076556117,0.0,2,8,14.849917653780894,0,0,,
BYAW0P3YPS31LXW035Y7,1604,python_unmodified_red,,,4.323017310277426,2.51227413612473,424.17962790938316,-90.93744273498068,275.4157928821137,0.0,2,8,19.849917653780846,0,0,,
BYAW0P3YPS31LXW035Y7,1605,python_unmodified_red,,,-1.572000264845211,4.746452903729914,419.20803601741216,-91.46856706509196,276.7799781086156,0.0,2,8,24.8499176537808,0,0,,
BYAW0P3YPS31LXW035Y7,1606,python_unmodified_red,,,-4.967990973850238,-0.5648589945659961,414.2504978628584,-92.11790090873099,278.1441633351176,0.0,2,8,29.849917653780754,0,0,,
BYAW0P3YPS31LXW035Y7,1607,python_unmodified_red,,,-0.4663094038340257,-4.978208065147088,409.30982370873795,-92.88507618020101,279.50834856161947,0.0,2,8,34.84991765378071,0,0,,
BYAW0P3YPS31LXW035Y7,1608,python_unmodified_red,,,4.776669578253233,-1.47764262938968,404.3888142584265,-93.76965799343066,280.8725337881215,0.0,2,8,39.849917653780665,0,0,,
BYAW0P3YPS31LXW035Y7,1609,python_unmodified_red,,,2.42612210009026,4.371948256264385,399.4902590680359,-94.77114490849628,282.2367190146234,0.0,2,8,44.84991765378062,0,0,,
BYAW0P3YPS31LXW035Y7,1610,python_unmodified_red,,,-3.781259530199594,3.2714028130565533,394.61693496510674,-95.88896921587138,283.60090424112536,0.0,2,8,49.84991765378058,0,0,,
BYAW0P3YPS31LXW035Y7,1611,python_unmodified_red,,,-3.977529480007057,-3.0297292347129607,389.7716044745174,-97.12249725824255,284.9650894676273,0.0,2,8,54.84991765378054,0,0,,
BYAW0P3YPS31LXW035Y7,1612,python_unmodified_red,,,2.149324842872317,-4.51446593960033,384.9570142525018,-98.4710297897081,286.32927469412925,0.0,2,8,59.849917653780494,0,0,,
BYAW0P3YPS31LXW035Y7,1613,python_unmodified_red,,,4.859372790797897,1.1774956815431081,380.1758935296604,-99.93380237215793,287.6934599206312,0.0,2,8,64.84991765378045,0,0,,
BYAW0P3YPS31LXW035Y7,1614,python_unmodified_red,,,-0.15557996786428122,4.997578901187952,375.43095256385146,-101.50998580860747,289.05764514713314,0.0,2,8,69.84991765378041,0,0,,
BYAW0P3YPS31LXW035Y7,1615,python_unmodified_red,,,-4.923205465700042,0.8729535740810364,370.72488110383557,-103.19868661324193,290.4218303736351,0.0,2,8,74.84991765378037,0,0,,
